Name,Number,Hours,Title,Description,Prerequisites,Concurrent Prerequisites,Semesters
AAST,336,3,Concepts of Race and Racism,"This course offers a critical introduction to the conditions of possibility for modern racial thinking, with particular emphasis on racial slavery and anti-blackness. We will begin with the working assumption that slavery is at the root of the problem of race and racism. In order to excavate this assumption, we will survey debates on 1) the origin and history of race and racism (from the Ancients to the early moderns); 2) the deployment of categories in contested proximity to race (from class to gender); and 3) the development of different conceptual paradigms (from double consciousness to political ontology) to parse the relationship between race and the world. Instead of resolving these debates, our problem-based approach will emphasize that texts are intellectual and political acts whose scope and framing bear on present problematics. In doing so, we will learn to mobilize our readings as theoretical and historical tools in interpreting the contemporary and interrogating our responsibility toward the themes of the class.",,,FS
AAST,345,3,Black Politics,"This course examines the historical origins and present framework of Black politics, including the civil rights movement, Black political culture, local and community politics, and current and future issues for Black America such as Black imagery in television/film, Black feminism, sexuality, the War on Drugs, the impact of mass incarceration, and modern social justice and protest movements like #BlackLivesMatter. Students will explore questions regarding the history of race in American political life as well as how race has shaped a broader national identity. And evaluate what concepts like “equal treatment under the law” and “liberty and justice for all” mean with respect to the legacy of Black political participation.",,,FS
AAST,350,3,Topics African American Lit,"A cross-genre survey of African American literature, historical events, and critical movements. Authors may include Frederick Douglass, Harriet Jacobs, Richard Wright, Zora Neale Hurston, Nella Larson, Langston Hughes, and Toni Morrison.",,,FS
AAST,352,3,Social Inequality,"Analysis of inequities of wealth, power, and prestige; major theories of racial and cultural minorities; behavioral correlates of stratification; social mobility.",,,FS
AAST,375,3,Freedom Beyond Rights,"Feminism understands itself to be fundamentally liberatory - that is, concerned with increasing liberty, particularly (but not exclusively) of women. Feminist political theory often treats freedom within a liberal framework that prioritizes individual rights: for example, the right to control one’s reproductive health, the right to equal pay, or the right not to experience harassment. According to this framework, to be free is to enjoy one’s rights without interference or limitation. The aim of this course is to think about freedom beyond rights. Specifically, we will consider what it means to be a free political actor, whether freedom is the highest political good, whether, and how, freedom is compatible with other values, such as equality and justice, and how different kinds of politics, social norms, and modes of living might affect attempts to increase and experience freedom.",,,FS
AAST,395,3,Special Topics,An examination of selected African American topics. May be repeated for a maximum of 18 hours.,,,FS
AAST,401,3,Black Intellectual Thought,"An upper level seminar designed to provide students with an in-depth study of major intellectual debates and mvoements that have shaped the politics, history and identities of the people of African descent in the United States and the African diaspura.  The course will combine methodologies and concepts from multiple disciplines including, history, political theory, literature, women's studies, sociology, pyschology and philosophy.",AAST 201 and AMS 201,,FS
AAST,402,"3,9",Special Topics,An examination of selected African American topics. May be repeated for a maximum of 9 hours.,,,FS
AAST,413,3,Communication &amp; Diversity,"Study and analysis of issues of diversity as they relate to groups in society and in communication fields. Emphasis is on the media's treatment of various groups in society. Writing proficiency is required for a passing grade in this course.  A student who does not write with the skill normally required of an upper-division student will not earn a passing grade, no matter how well the student performs in other areas of the course.",,,FS
AAST,415,3,African American Rhetoric,"A historical-critical investigation of African American public discourse from the Revolutionary era to the present, exploring rhetorical strategies for social change and building community. Writing proficiency is required for a passing grade in this course.  A student who does not write with the skill normally required of an upper-division student will not earn a passing grade, no matter how well the student performs in other areas of the course.",,,FS
AAST,434,3,"Race, Ethnicity and Health Disparities","This course is designed to provide the student with an overview of race and ethnicity as it relates to health as well as major issues facing the overall health status of our society. This class will provide examples for the application of minority health basic competencies in the field of community health and medical sociology. Topics to be covered include: mental health and individual behavior access to health care, socioeconomic status and racial differences, racial/ethnic group specific health issues. The health care system covers the physician-patient relationship and increasing commercialization in the health care system.",,,FS
AAST,435,3,Black Feminism,"This upper level undergraduate and graduate course exposes students to the key figures, texts and concepts that constitute black feminist thought.",AAST 201 or WS 200,,FS
AAST,436,3,Gender and Black Masculinity,"This course will examine the socio-historical perceptions and constructions of Black masculinities in various regions and periods. Students will also examine the social, political, and economic conditions of Black male life in the contemporary period and interrogate representations of Black men and boys in U.S. culture and society in relation to the broader politics of race, class, gender, and sexuality in the post-civil rights era. Specific attention will be paid to the history of ideas and approaches that have shaped and defined our understanding of Black males. Students will be introduced to historical and socio-cultural circumstances that affect Black males and the diverse nature of Black culture. This course will also attempt to heighten awareness and sensitivity to the contemporary problems affecting Black males and thus help discover and evaluate social policies and programs geared towards Black males.",,,FS
AAST,490,"1,6",AAST Independent Study,"Independent study on any subject pertaining to African-American studies, under the supervision of a professor in the chosen field and/or Director of the program.",,,FS
AAST,495,3,Special Topics,An examination of selected African American topics. May be repeated for a maximum of 18 hours.,,,FS
AAST,502,3,Special Topics,An examination of selected African American topics.,,,FS
AC,148,1,Introduction to the Accounting Major and Profession,"AC 148 is open to freshmen and sophomores interested in learning more about the accounting profession and the accounting curriculum in the Culverhouse School of Accountancy. This course will introduce basic terminology and methodology, the accounting curriculum, career and educational resources, and career options.",GBA 145 or GBA 146,,FS
AC,184,"1,3",Culverhouse LIFT Student Worker,"This course revolves around participation as a tutor and mentor in The LIFT (Learning Initiative and Financial Training) Program, teaching computer and financial skills to disadvantaged members of the community.",(CS 102) or (CS 285 and/or required computer training provided by LIFT program) or (permission of the instructor.),CS 102 and CS 285,FS
AC,188,3,Culverhouse LIFT - Class Leader,"This course involves participation as a class leader and mentor in The LIFT (Learning Initiative and Financial Training) Program, supervising students and participants in classes involving teaching computer and financial skills to disadvantaged members of the community.",Permission of the instructor,"CS102, CS285 and/or required computer training provided by LIFT program.",FS
AC,189,3,Honors LIFT - Class Leader,"This course covers the same material as AC 188 but in a depth appropriate for honors students. This course involves participation as a class leader and mentor in The LIFT (Learning Initiative and Financial Training) Program, supervising students and participants in classes involving teaching computer and financial skills to disadvantaged members of the community. Students may not take AC 189 if student has taken AC 184 and can only take AC 189 once.",Permission of the instructor,"CS 102, CS 285 and/or required computer training provided by LIFT program.",FS
AC,210,4,Intro To Accounting,"Introduction to accounting and financial reporting concepts and the use of accounting information in financial and managerial decisions. Students who intend to major in accounting should take AC 289 or CS 285 before or concurrently with AC 210. Students are limited to three attempts for this course, excluding withdrawals. Students cannot receive credit for both AC 210 and AC 211.",EC 110 or EC 112,,FS
AC,211,4,Honors Intro To Accounting,"This course covers the same material as AC 210 but in a depth appropriate for honors students. Introduction to accounting and financial reporting concepts and the use of accounting information in financial and managerial decisions. Students who intend to major in accounting should take AC 289 or CS 285 before or concurrently with AC 210. Students are limited to three attempts for this course, excluding withdrawals.",EC 110 or EC 112,,FS
AC,310,3,Financial Reporting &amp; Analysis of Business Activities I,"Promotes technical competency in the accounting process and develops critical thinking, communication, and research skills involving accounting and other business information. By presenting accounting and business consulting issues and requiring the use of technology to solve a typical business entity’s problems, this course exposes students to the professional environment of accounting practice. Students are limited to two attempts for this course, excluding withdrawals.",(EN 101 or 120) and (EN 102 or EN 121 or EN 103 or EN 104) and (MATH 121 or MATH 125 or MATH 145) and (EC 110 or EC 112) and (EC 111 or EC 113) and (AC 210 or AC 211) and (LGS 200 or LGS 201) and ST 260,,FS
AC,311,3,Financial Reporting &amp; Analysis of Business Activities II,"Continuation of AC 310. Students are limited to two attempts for this course, excluding withdrawals.",AC 310,,FS
AC,334,3,Introduction to Fraud Risk Management,"This course provides a basic overview of fraud risk management in business, including the global fraud problem, fraud risk identification, assessment, prevention, detection, and follow-up.",(EN 101 or 120) and (EN 102 or EN 121 or EN 103 or EN 104) and (MATH 121 or MATH 125 or MATH 145) and (EC 110 or EC 112) and (EC 111 or EC 113) and (AC 210 or AC 211) and (LGS 200 or LGS 201) and ST 260 or permission of the instructor,,FS
AC,351,3,Managerial Accounting Decisions,Study of managerial accounting concepts and their use in business decisions. Not open to accounting majors.,(EN 101 or 120) and (EN 102 or EN 121 or EN 103 or EN 104) and (MATH 121 or MATH 125 or MATH 145) and (EC 110 or EC 112) and (EC 111 or EC 113) and (AC 210 or AC 211) and (LGS 200 or LGS 201) and ST 260,,FS
AC,352,3,Corporate Financial Reporting,Study of financial accounting concepts and their use in analyzing and interpreting financial reports. Not open to accounting majors.,(EN 101 or 120) and (EN 102 or EN 121 or EN 103 or EN 104) and (MATH 121 or MATH 125 or MATH 145) and (EC 110 or EC 112) and (EC 111 or EC 113) and (AC 210 or AC 211) and (LGS 200 or LGS 201) and ST 260,,FS
AC,361,3,Cost Analysis for Planning &amp; Control,"A study of the theory and application of accounting for measuring the economic attributes of the firm's operations. The course examines the measurement, analysis, and interpretation of accounting information for planning and controlling a firm's business-related activities. Students are limited to two attempts for this course, excluding withdrawals.",(EN 101 or 120) and (EN 102 or EN 121 or EN 103 or EN 104) and (MATH 121 or MATH 125 or MATH 145) and (EC 110 or EC 112) and (EC 111 or EC 113) and (AC 210 or AC 211) and (LGS 200 or LGS 201) and ST 260,,FS
AC,371,3,Introduction To Taxation,"Introduction to tax policy, planning, practice, and research with an emphasis on income taxation. Students are limited to two attempts for this course, excluding withdrawals.",(EN 101 or 120) and (EN 102 or EN 121 or EN 103 or EN 104) and (MATH 121 or MATH 125 or MATH 145) and (EC 110 or EC 112) and (EC 111 or EC 113) and (AC 210 or AC 211) and (LGS 200 or LGS 201) and ST 260,,FS
AC,389,3,"Accounting Information Systems - Development, Operation, and Control","Introduction to the operation and development of accounting information systems, e-business applications, networking, and controls. Computing proficiency is required for a passing grade in this course.",CS 285 and AC 310,,FS
AC,415,3,Current Issues in the Accounting Profession,This course is for accounting students who are returning from a spring internship.,(EN 101 or 120) and (EN 102 or EN 121 or EN 103 or EN 104) and (MATH 121 or MATH 125 or MATH 145) and (EC 110 or EC 112) and (EC 111 or EC 113) and (AC 210 or AC 211) and (LGS 200 or LGS 201) and ST 260,,FS
AC,432,3,"Intro to Corporate Governance, Risk Assessment, and Assurance Services","A risk-oriented study of standards, concepts, procedures, and professional ethics underlying governance and the practice of external and internal auditing and assurance services. The course will focus on mechanisms and activities that enhance the reliability of information for decision making. Students are limited to two attempts for this course, excluding withdrawals.",AC 311 and AC 389,,FS
AC,444,3,Financial Analysis for Investing,"Discussion of a common framework for the analysis of general purpose financial statement information. Includes discussions of the accounting process and availability of financial information, selected intermediate and advanced accounting concepts, required disclosures, modeling &amp; valuation implications, and various analytical techniques available to the investment professional.",(EN 101 or 120) and (EN 102 or EN 121 or EN 103 or EN 104) and (MATH 121 or MATH 125 or MATH 145) and (EC 110 or EC 112) and (EC 111 or EC 113) and (AC 210 or AC 211) and (LGS 200 or LGS 201) and ST 260,,FS
AC,456,3,Government &amp; Nonprofit Accounting,"Special features of budgetary and fund accounting are applied to municipalities, other government units, and institutions such as schools and hospitals.",AC 310,,FS
AC,471,3,Taxation of Business Transactions &amp; Organizations,"Examination of the tax implications of business formations, transactions between the entity and the owners, reorganizations, and liquidations. The course develops tax research skills.",AC 371,,FS
AC,491,"1,3",Independent Study,Accounting Independent Study.  Students can apply a maximum of 3 credits of AC 491 toward their degree.,(EN 101 or 120) and (EN 102 or EN 121 or EN 103 or EN 104) and (MATH 121 or MATH 125 or MATH 145) and (EC 110 or EC 112) and (EC 111 or EC 113) and (AC 210 or AC 211) and (LGS 200 or LGS 201) and ST 260,,FS
AC,492,"1,3",Accounting Internship,Students are selected through a competitive process for assignments in approved business or public sector organizations.  Students can apply a maximum of 3 credits of AC 492 toward their degree.,(EN 101 or 120) and (EN 102 or EN 121 or EN 103 or EN 104) and (MATH 121 or MATH 125 or MATH 145) and (EC 110 or EC 112) and (EC 111 or EC 113) and (AC 210 or AC 211) and (LGS 200 or LGS 201) and ST 260,,FS
AC,497,"1,3",Special Topics,Special Topics in Accounting.  Students can apply a maximum of 9 hours of AC 497 toward their degree.,(EN 101 or 120) and (EN 102 or EN 121 or EN 103 or EN 104) and (MATH 121 or MATH 125 or MATH 145) and (EC 110 or EC 112) and (EC 111 or EC 113) and (AC 210 or AC 211) and (LGS 200 or LGS 201) and ST 260,,FS
AC,501,3,Basic Acctg Managrl Finan Cont,Study of the fundamentals of financial accounting. Attention is given to the interpretation and uses of information contained in financial statements.,,,FS
AC,502,3,Acctng Management Decisions,Study of the fundamentals of managerial accounting. Attention is given to the use of accounting by business managers.,AC 501,,FS
AC,506,3,Concepts Financial Managrl Acc,Basic accounting concepts and procedures with an emphasis on the use of accounting information by business managers.,,,FS
AC,512,3,Adv Financial Reporting/Analys,Advanced topics in financial accounting and reporting considered from a practical and theoretical perspective.,,,FS
AC,515,3,Current Issues in the Accounting Profession,This course is for accounting students who are returning from a spring internship.,,,FS
AC,523,3,Business Valuatn Perform Measm,"The analysis of accounting information for purposes of valuing businesses for investment, credit, and related decisions.",,,FS
AC,532,3,Corp Governance Risk Assessmt,"Advanced study of standards, concepts, procedures, and professional ethics underlying governance and the provision of assurance services.",,,FS
AC,534,3,Fraud &amp; Ethics Risk Management,"Advanced study of the forensic accounting profession, fraud prevention, detection, and investigation, and the character needed to manage ethical challenges.",,,FS
AC,544,3,Financial Statement Analysis,"Discussion of a common framework for the analysis of general purpose financial statement information. Includes discussions of the accounting process and availability of financial information, selected intermediate and advanced accounting concepts, required disclosures, modeling &amp; valuation implications, and various analytical techniques available to the investment professional.",,,FS
AC,547,3,Data Analytics for Accounting,A study of applied data analysis with an emphasis on accounting and business settings. The course will focus on tools and techniques used to draw insights from and solve problems with data.,,,FS
AC,548,3,Financial Statement Analysis,"Discussion and application of a common framework for the analysis of general purpose financial statement information for a variety of contexts.  Includes discussions of the accounting process, availability and relevance of financial information, analytical implications of selected intermediate and advanced accounting concepts, required disclosures, and various analytical techniques available to the accounting or finance professional.",Admission to Master of Accountancy (MAcc) program or permission of the instructor.,,FS
AC,556,3,Governmental Nonprofit Account,"Special features of budgetary and fund accounting as applied to municipalities, other governmental units, and institutions such as schools and hospitals.",,,FS
AC,561,3,Accounting Business Management,Concepts and procedures employed in developing and using accounting information for management decisions.,,,FS
AC,575,3,Taxn Corp Shareholders,A study of federal income tax problems of corporations and the relationships of these problems to the tax problems of the corporate shareholder.,,,FS
AC,576,3,Adv Corporate Taxation,"A study of the tax accounting problems relating to corporate organizations, commonly controlled corporations, and consolidated tax returns.",AC 471,,FS
AC,578,3,Partnership Taxation,"Designed to explore, in depth, the taxation of the formation, operation, and disposition of partnerships and LLCs. In addition, a brief review of the taxation of S corporations is presented.",,,FS
AC,582,"1,3",State And Local Taxation,Introduction to state and local taxation of businesses.,,,FS
AC,589,3,Systems Analysis &amp; Control,"Examination of information systems development and control issues from the perspective of ensuring relevance, reliability, and security of business systems and information.",,,FS
AC,592,3,Accounting Internship,,,,FS
AC,593,3,Res &amp; Communicatn Taxation,"A study of tax research procedures, documentation of research, and presentation of research findings.",,,FS
AC,597,"1,6",Special Topics In Accounting,,,,FS
AC,610,3,Intro Accounting Res I,"Study of the production of accounting research, with specific focus on the scientific method. Intensive focus on problem identification and communication, and theory and hypothesis development.",,,FS
AC,620,3,Acctg Research Sem I,"Study of advanced research methods with intensive focus on design and method development, data analysis, and interpretation of results.",,,FS
AC,630,3,Archival Acctg Research,Study of the archival accounting research literature.,,,FS
AC,640,3,Experimental Acctg Research,Study of the experimental accounting research literature.,,,FS
AC,650,3,Directed Research,Examination of the literature and methodology associated with a specific research topic. Directed focus on development of second-year paper.,,,FS
AC,691,3,Research Practicum I,Development of a first year project under the supervision of a faculty member. Resulting papers are presented at a departmental research workshop.,,,FS
AC,692,3,Research Practicum II,Development of a second-year research project under the supervision of a faculty member. Resulting papers are presented at a departmental research workshop.,,,FS
AC,698,1,Research Colloquim Series,Participation in a research colloquium series involving scholars from top academic institutions.,,,FS
AC,699,"1,15",Dissertation Research,"This independent research course partially fulfills required doctoral-level research dissertation hours toward the doctoral degree. Under the guidance of their dissertation advisor, students conduct research toward the completion of their doctoral dissertation. Employing various research techniques and methodologies, students work on theoretical and/or applied research topics with the aim of making a novel contribution to the field.",,,FS
AEL,520,3,Leadership for Communities,"A study of individual and group leadership skills for purpose of addressing issues that impact student learning, engaging families in decisions at the school and district levels and building community support for schools.",SPE 300 or SPE 500,,FS
AEL,521,3,Leadership for Improvement,"Prepares prospective educational administrators for grade P-12 to provide the instructional leadership for continuous improvement of schools.  Focuses on knowledge and understanding about learning methods and strategies for program planning, design, implementation and evaluation.",SPE 300 or SPE 500,,FS
AEL,522,3,Teaching and Learning,"Places emphasis on developing the school leader's knowledge of teaching and learning and her/his abilities to lead, coach, participate in and enhance teacher dialogue about student learning.",SPE 300 or SPE 500,,FS
AEL,523,3,Human Resource Development,"Basic concepts of effective supervision, including supervisory roles and functions, communicative interaction and formative and summative strategies for improving instruction.",SPE 300 or SPE 500,,FS
AEL,524,3,Ethics and Law,A study of ethics and law as it relates to the educational leader's role as the first citizen of the school/district community.,SPE 300 or SPE 500,,FS
AEL,525,3,Management,"A study of theories, principles and practices of managing an educational organization.  Emphasis will be on the practical management of the local school.",SPE 300 or SPE 500,,FS
AEL,526,3,Data Informed Decision Making,Uses school based data as a vehicle to illustrate the applicability of decision making models in the resolution of school problems.,SPE 300 or SPE 500,,FS
AEL,527,1.5,Internship in Educ Leadership,"Applies theory, knowledge and skills in meaningful and practical experiences in actual school settings.  Students are required to complete two semesters of internship for a total of 3 hours credit.",SPE 300 or SPE 500,,FS
AEL,530,3,Introduction to Educational Leadership,This course is an introduction to leadership theory and practice. It focuses on both individual and group leadership skills and how they are used to affect student learning and the engagement of the broader learning community. The collaborative development of a school's mission and the examination of the critical issues that school leaders commonly face will be examined.,,,FS
AEL,531,3,Evidence-based Decision Making,This course uses school performance data to illustrate the applicability of decision-making models for the resolution of school-based problems.,,,FS
AEL,532,3,Supervision and Mentoring,"This course examines strategic approaches to instructional leadership, supervision and mentoring.  The focus of the course centers on the knowledge base, the interpersonal and technical skills, as well as the mentoring proficiencies that is required of an instructional leader.",,,FS
AEL,533,3,Management and Strategic Planning,"This course is a study of the theories, principles, and practices of managing an educational organization with an emphasis on the practical management of the local school.  It addresses the role that instructional leaders play in advancing student learning through the effective, efficient, and equitable utilization of resources.",,,FS
AEL,534,3,Leadership and Organizational Theory,This course focuses on the analysis of concepts and issues related to the organization and administration of the school. The course is a general introduction to the study of educational administration that puts a focus on key leadership skills.,,,FS
AEL,535,3,Leadership of Curriculum and Instruction,"This course is designed to prepare prospective educational administrators in the area of curriculum and instruction.  The course focuses on research insights related to teaching and learning as well as on key principles and concepts for curriculum design, curriculum implementation and curriculum evaluation.",,,FS
AEL,608,3,Educ Fin Theory/Pract,"A study of litigation, legislation, and implementation of public-school finance programs in the 50 states. Concentrates on four aspects of equity: resource equity, input equity, output equity, and tax equity.",,,FS
AEL,611,3,Superintendency and the Leadership Team,An inquiry utilizing the perspectives of effective delegation and participation into the nature of the superintendency and the development of a leadership team.,,,FS
AEL,612,3,Instruc Supv Mentor Trng,"A comprehensive critical examination of advanced philosophy, theory, and research of instructional supervision, including an interdisciplinary focus on forces impinging upon instruction. Implications of these findings for individual and group development and the improvement of instruction and the instructional environment are emphasized.",,,FS
AEL,618,3,Adv Educational Law,"Emphasizes original legal research by the student. After reviewing general principles of educational law, each student selects a topic for intense research. With the instructor's assistance, each student will prepare a publishable article on some area of educational law. Proper use of legal notations, forms, and research methods is stressed.",,,FS
AEL,619,3,Politics Of Education,"Study of politics as it relates to educational decision making, with emphasis on political theory, history of politics in education, and the legislative process. Offered once during the academic year.",,,FS
AEL,630,3,School Partnerships,"This advanced course examines basic principles, strategies, and components of school and community partnerships and the obstacles to forging effective and successful partnerships from a solid theoretical foundation in community sociology and its relationship to school reform. In addition, it analyzes how social and cultural differences impact the ways in which business, schools, families/parents, and communities interact, relate, and conflict.",,,FS
AEL,631,3,Strategic Leadership,"Application of Leadership theories to district level leadership practice, with an emphasis on strategies and tactics for planning.  Includes field experience.",,,FS
AEL,632,3,Leading Learning Through the Curriculum,"Knowledge, skills and understandings about curriculum discourses and assumptions underlying historical, social and contemporary thought, practice and research applying to curriculum leadership.",AEL 521,,FS
AEL,633,3,"Leading, Developing, and Mentoring for Adult Learners","Emphasis is on advanced study of leading learning communities, developing adult learners and strategies for teachers to ensure all students learn.",AEL 522 and AEL 631,,FS
AEL,634,3,Development and Supervision of Human Resources,"Analysis of personnel functions, emphasizing philosophy, theory, skills and research on professional development for adult learners in professional learning communities.",AEL 523,,FS
AEL,635,3,"Ethical, Legal, and Policy Issues in Schools",Advanced ethics and law for school administrators with emphasis on relationships between these and policy for school leaders.,,,FS
AEL,636,3,School Finance and Financial Management,"An introduction to school and school systems business management and related technologies, fund accounting; GAAP; budgets; asset stewardship and internal control; purchasing and contracts; local school revenues, reporting and relationships to school support organizations and student activities.",,,FS
AEL,637,3,Leadership and Social Systems,A study of the interplay between leader behavior and schools from social systems theory and practical implications for improving instruction.,,,FS
AEL,638,3,Solving Problems of Practice,Directed opportunities to use educational leadership knowledge and skills to design field-based projects and evaluate solutions.,,,FS
AEL,649,"1,6",Advanced Research,Directed research activities related to educational leadership topics. Enrollment is subject to program regulations and permission of the student's program committee. Credit is based on the nature and degree of student involvement.,,,FS
AEL,650,3,Organizational Theory,"An exploration of the relationship among concepts, generalizations, and theoretical models found in the behavioral and social sciences. The application of these to administrative practice in educational settings is addressed.",,,FS
AEL,661,3,Major Issues and Trends in Educational Leadership,This course provides an advanced analysis of the current issues and trends commonly affecting the decisions of school leaders.,,,FS
AEL,664,3,Educational Policy and the Dynamics of Change,Components of change will be identified and theories of social and personal dynamics will be adapted and applied to planned programs of change in education.,,,FS
AEL,667,3,Multicult Soc Ed Leadshp,"An advanced inquiry into contemporary social and cultural dimensions of education and their relationships to leadership. Includes issues of diversity, gender, ethnicity, pluralism, and equality.",,,FS
AEL,669,3,Curriculum Study Schoolg,An inquiry into the curriculum of schooling. Critical analysis of the relationship of curricular decision making to social and political systems and other school context variables is emphasized. Application is made to contemporary issues and problems in school leadership and restructuring.,,,FS
AEL,671,3,Survey of Instructional Supervision,A critical examination of research in supervision and leadership to improve instructional capacities and diverse student learning.,,,FS
AEL,675,3,Leadership for Organizational Improvement: Theory into Practice,"This is a second-level course on organizational theory that is a continuation of the work begun in AEL 650.  The course presents a deep exposure to the research literature on organizational theory, taken from various theoretical perspectives, with the expectation of fashioning a dissertation problem.",,,FS
AEL,681,3,Ethics and Education,"An exploration and examination of traditional and contemporary ethical issues confronting educational leaders, managers, and teachers at all levels of the educational process.  Emphasis on an interdisciplinary approach to foundations in ethical theory and establishing a conceptual framework for the resolution of moral and ethical questions prevalent across the educational spectrum.",,,FS
AEL,682,3,Lead &amp; Org/Theory &amp; Appl,"An examination of historical and contemporary theories, models, concepts, and practices for effective and efficient approaches to leadership within organizations and how these apply to educational settings.",,,FS
AEL,695,3,Sem Curriculum Leadershp,"An advanced seminar for students to explore, discuss, and interpret contemporary curriculum practice and research. Provides students with opportunities for critical inquiry into an area of specialized need and interest.",,,FS
AEL,697,3,Seminar in Educational Leadership,An advanced seminar for students to explore research in educational leadership and conduct critical inquiries into areas of specialized interest.,,,FS
